logName,eventFinderID,eventID,eventComment,eventIndex,eventDuration,eventColumnID,ME_API,ME_SW,VFP_ver
FORDDAT2_20190402_NA_ChkOut_F8_KRK_KRK_TW_AM_201619_014,Approaching junction,1,Approaching junction,32303,148,-1,,,
FORDDAT2_20190402_NA_ChkOut_F8_KRK_KRK_TW_AM_201619_014,Approaching junction,2,Approaching junction,33563,92,-1,,,
FORDDAT2_20190402_NA_ChkOut_F8_KRK_KRK_TW_AM_201619_014,Approaching junction,1,Approaching junction,32303,148,-1,,,
FORDDAT2_20190402_NA_ChkOut_F8_KRK_KRK_TW_AM_201619_014,Approaching junction,2,Approaching junction,33563,92,-1,,,
